,bias,message,label,text,Name,Last Name,Party,Party_Bias,Party_Message
989,neutral,information,From: Erik Paulsen (Representative from Minnesota),PHOTO: My #EdenPrairie office delivered local student valentines to #veterans at @VAMinneapolis. #HappyVDay #MN03 http://t.co/YYWCQFhR,Erik Paulsen,Paulsen,R,R-neutral,R-information
990,partisan,support,From: Richard Hudson (Representative from North Carolina),@MichaelLambe What's the concern? I am waiting for details but want to see secure border &amp; worker program w-out citizenship?,Richard Hudson,Hudson,R,R-partisan,R-support
992,neutral,personal,From: Kevin Yoder (Representative from Kansas),It was great visiting with members of the Petroleum Marketers Association of America (PMAA) today in Washington. http://t.co/LJRpiD0xbw,Kevin Yoder,Yoder,R,R-neutral,R-personal
993,partisan,attack,From: Alan Grayson (Representative from Florida),"When Democrats don't vote, Republicans win. http://t.co/xNufiP3h2E",Alan Grayson,Grayson,D,D-partisan,D-attack
994,neutral,constituency,From: Kevin McCarthy (Representative from California),It was a privilege to meet with the Kern County Honor Flight. These men and women are a true embodiment of service. https://t.co/GzjLc3Cl0g,Kevin McCarthy,McCarthy,R,R-neutral,R-constituency
995,neutral,personal,From: Matt Cartwright (Representative from Pennsylvania),Students are telling Congress: #DontDoubleMyRate. I've answered the call. Only 23 Members needed to force a vote. http://t.co/Fk94JgCRBh,Matt Cartwright,Cartwright,D,D-neutral,D-personal
996,neutral,media,From: Daniel Coats (Senator from Indiana),Joining @GarrisonRadio on @93wibc at 9:05 a.m. Tune in: http://t.co/gklgWDiKdp,Daniel Coats,Coats,R,R-neutral,R-media
997,neutral,personal,From: Cory Booker (Senator from New Jersey),Please Direct Message me your number now RT @itds desperately need ur help.  my mom is in intensive care in Newton &amp; needs 2 be transported,Cory Booker,Booker,D,D-neutral,D-personal
998,neutral,mobilization,From: Paul Tonko (Representative from New York),remember to follow me on #facebook and continue to conversation with more than 140 characters: https://t.co/jMlLW82g0i,Paul Tonko,Tonko,D,D-neutral,D-mobilization
1000,neutral,personal,From: John Boehner (Representative from Ohio),"RT @SharonDay: Happy WomenÛªs Equality Day! http://t.co/BaE4isPbbS

My honor to post this.",John Boehner,Boehner,R,R-neutral,R-personal
1001,neutral,policy,From: Mitch McConnell (Senator from Kentucky),via @courierjournal's @JRCarrollCJ: Senator Mitch McConnell meeting with President Obama now on #ISIL threat. http://t.co/Lg3NJrrjBP,Mitch McConnell,McConnell,R,R-neutral,R-policy
1002,neutral,personal,From: Kevin Yoder (Representative from Kansas),This is why I don't have confidence we've learned the lessons from the tragic attacks on our consulate in #Benghazi. http://t.co/Q7LORUw5kb,Kevin Yoder,Yoder,R,R-neutral,R-personal
1003,partisan,policy,From: Brian Higgins (Representative from New York),Proud to be in Niagara Falls for the 2014 #StandAgainstRacism (@YWCAUSA) https://t.co/dGX3ym4Zho,Brian Higgins,Higgins,D,D-partisan,D-policy
1004,neutral,support,From: Eleanor Norton (Representative from NA),"My interview w/ @NiaWaPo on @PostTV, discussing '63 #MarchOnWashington and its legacy http://t.co/9lBiBnPZa2",Eleanor Norton,Norton,D,D-neutral,D-support
1005,neutral,personal,From: Robert Menendez (Senator from New Jersey),"I am so proud of my wonderful children, @AliciaMenendez &amp; Rob Jr. #FathersDay http://t.co/nWXSOdhBqZ",Robert Menendez,Menendez,D,D-neutral,D-personal
1007,neutral,media,From: Peter Welch (Representative from Vermont),In just a couple mins I'm going to give my reaction to Obama's statement on Iraq on @huffpostlive WATCH HERE http://t.co/9BRinnOaMF,Peter Welch,Welch,D,D-neutral,D-media
1008,neutral,constituency,From: Elizabeth Esty (Representative from Connecticut),Here we go Huskies! It's the homestretch now #BleedBlue #caNINEs @UConnWBB,Elizabeth Esty,Esty,D,D-neutral,D-constituency
1009,neutral,media,From: Erik Paulsen (Representative from Minnesota),"ICYMI: MinnPost article about my and @amyklobuchar's bipartisan, bicameral work to combat sex trafficking #NotForSale http://t.co/aoex39VVGE",Erik Paulsen,Paulsen,R,R-neutral,R-media
1011,neutral,personal,From: Lois Capps (Representative from California),Relieved to hear that @gsfoundation team is safe and accounted for at #BostonMarathon #SantaBarbara,Lois Capps,Capps,D,D-neutral,D-personal
1013,neutral,information,From: Paul Tonko (Representative from New York),PosiGen #solar company looking to expand across New York state http://t.co/yqNtAe2hoK via @AlbanyBizReview,Paul Tonko,Tonko,D,D-neutral,D-information
1014,neutral,personal,From: Rick Nolan (Representative from Minnesota),"Now wearing ""the @UPS browns"" and ready to hand-deliver packages to the good people of #MN08! http://t.co/giZ5AReDtH",Rick Nolan,Nolan,D,D-neutral,D-personal
1015,neutral,personal,From: Diana DeGette (Representative from Colorado),Ready for #SB48. Go #Broncos! #UnitedInOrange http://t.co/Drsj0dIMkO,Diana DeGette,DeGette,D,D-neutral,D-personal
1016,neutral,information,From: Steven Palazzo (Representative from Mississippi),MT @goulaglenn Looking forward to hearing @congpalazzo speak at the Ingalls Shipbuilding Supplier conference @HIIndustries,Steven Palazzo,Palazzo,R,R-neutral,R-information
1017,partisan,policy,From: Richard Burr (Senator from North Carolina),.@SenAngusKing and I penned an op-ed together explaining our student loan repayment proposal: http://t.co/SeaMJnt1ZU #fixthemaze,Richard Burr,Burr,R,R-partisan,R-policy
1020,partisan,mobilization,From: James Moran (Representative from Virginia),@chrislhayes this a.m. highlighted special interest tax giveaways in #fiscalcliff deal. Worth sharing -  http://t.co/kv0P9FJ2,James Moran,Moran,R,R-partisan,R-mobilization
1021,partisan,information,From: Bill Huizenga (Representative from Michigan),.@TheHill: New Regs on Power Plants could cost thousands of jobs &amp; $30 Billion annually per @uschamber http://t.co/yQCNejBBHf #tcot,Bill Huizenga,Huizenga,R,R-partisan,R-information
1023,neutral,personal,From: Cory Booker (Senator from New Jersey),My pleasure!!!  @deciminyan,Cory Booker,Booker,D,D-neutral,D-personal
1024,neutral,personal,From: Reid Ribble (Representative from Wisconsin),Thanks to everyone who attended the 2014 Ag Briefing at @NWTC today! #wi08 http://t.co/voAIiGUjKa,Reid Ribble,Ribble,R,R-neutral,R-personal
1025,neutral,policy,From: Thomas Massie (Representative from Kentucky),We vote on Amash-Conyers-Massie-Mulvaney-Polis amdt today to rein in domest surveillance of innocent Americans. How will your Rep vote? #NSA,Thomas Massie,Massie,R,R-neutral,R-policy
1027,neutral,policy,From: Jason Chaffetz (Representative from Utah),I wonder how often the Pentagon misplaces a Marine Col on active duty? #Benghazi http://t.co/BztGmtfE6K,Jason Chaffetz,Chaffetz,R,R-neutral,R-policy
1028,partisan,attack,From: John Cornyn (Senator from Texas),"""Revelations confirmed complaints [Cornyn] had received in 2011 and 2012 from...the King Street Patriots, San... http://t.co/fOVEa5goxz",John Cornyn,Cornyn,R,R-partisan,R-attack
1030,partisan,attack,From: Mark Pocan (Representative from Wisconsin),"Introducing the PATH to Prosperity board game - under the #GOPbudget, it's hard to get ahead. #p2 http://t.co/d0rVUSWfJZ",Mark Pocan,Pocan,D,D-partisan,D-attack
1031,partisan,policy,From: Dana Rohrabacher (Representative from California),@mustikhan if Kashmiri independence movement dominated by Islam radicals rather than freedom&amp; democracy advocates they still deserve a vote,Dana Rohrabacher,Rohrabacher,R,R-partisan,R-policy
1032,neutral,media,From: Thad Cochran (Senator from Mississippi),Look forward to being at @NASAStennis today. via @sunherald Stennis will celebrate beginning of new rocket-test era http://t.co/f0XidYr6Mi,Thad Cochran,Cochran,R,R-neutral,R-media
1033,neutral,information,From: Tammy Baldwin (Senator from Wisconsin),"#NoFilter  -- Today, Senator Baldwin introduced her first piece of legislation to the U.S. Senate -Û_ http://t.co/tUQbpWkMck",Tammy Baldwin,Baldwin,D,D-neutral,D-information
1034,neutral,personal,From: Eric Swalwell (Representative from California),"Congratulations Paul Ferreira, a newly-minted Eagle Scout from #SanRamon. #ca15 http://t.co/LdX1HC6Tgj",Eric Swalwell,Swalwell,D,D-neutral,D-personal
1035,neutral,support,From: Al Franken (Senator from Minnesota),Al is pleased to announce Minnesota-USDA partnership to give farmers certainty and improve water quality. http://t.co/5IVoUAqTm7,Al Franken,Franken,D,D-neutral,D-support
1036,neutral,media,From: Loretta Sanchez (Representative from California),About to go on @ThisHour on @CNN - tune in now!,Loretta Sanchez,Sanchez,D,D-neutral,D-media
1038,neutral,personal,From: Michael Honda (Representative from California),"@ericnakagawa @ChangeTip Thank you! Sadly, I have to turn down your cup of coffee - I can't accept gifts, but I appreciate the gesture",Michael Honda,Honda,D,D-neutral,D-personal
1039,neutral,information,From: Erik Paulsen (Representative from Minnesota),Proud to have joined @RepWalorski and pass a bill expanding military whistleblower protections http://t.co/y7NwKdfPdU #MN03,Erik Paulsen,Paulsen,R,R-neutral,R-information
1040,neutral,policy,From: Lamar Alexander (Senator from Tennessee),"VIDEO: Calls Army Corps plan to restrict fishing below dams ""unreasonable""; watch full press conference: http://t.co/YKZHf9vCnH #tailwaters",Lamar Alexander,Alexander,R,R-neutral,R-policy
1041,neutral,personal,From: Mike Quigley (Representative from Illinois),@MECOPower feel the same way. It was our pleasure to do it &amp; an honor to be in a position to help!,Mike Quigley,Quigley,D,D-neutral,D-personal
1042,neutral,support,From: Todd Rokita (Representative from Indiana),Video from Vettes for Vets Cruise on Sat. Great day for a great cause! http://t.co/Q2bZVMeFNI,Todd Rokita,Rokita,R,R-neutral,R-support
1044,partisan,support,From: John Boehner (Representative from Ohio),PHOTO: Proud to sign @RepJoeHeckÛªs Three Kids Mine bill to help create #jobs in #NV https://t.co/HuAppsfkHi,John Boehner,Boehner,R,R-partisan,R-support
1045,neutral,information,From: Mike Quigley (Representative from Illinois),.@PowerHRG plans to create 200 #IL05 jobs this year. Thanks for making 200 families so much happier! http://t.co/vzEKxyFKSY,Mike Quigley,Quigley,D,D-neutral,D-information
1046,neutral,information,From: Robert Goodlatte (Representative from Virginia),"If you missed it, my opening statement from today's #FISA hearing is up on my YouTube page: http://t.co/UeqW5uQsFQ #HJC113",Robert Goodlatte,Goodlatte,R,R-neutral,R-information
1047,neutral,information,From: Kirsten Gillibrand (Senator from New York),"New @AECFKidsCount report finds 23% of U.S. children live in poverty: http://t.co/fl8Qx5GMqy We can do better, we must do better. #KidsCount",Kirsten Gillibrand,Gillibrand,D,D-neutral,D-information
1048,neutral,other,From: Jim Himes (Representative from Connecticut),"RT @RecoveringPol: We have 68 @NoLabelsOrg problem-solvers -- amazing. How many Congressmen do we need for critical mass, and how do we getÛ_",Jim Himes,Himes,D,D-neutral,D-other
1049,neutral,support,From: Jerrold Nadler (Representative from New York),Proud to #StandWithPeggy. Pregnant workers shouldn't have to choose between a healthy pregnancy and a paycheck. http://t.co/QtUrgQRr1Z,Jerrold Nadler,Nadler,D,D-neutral,D-support
1050,neutral,policy,From: Louie Gohmert (Representative from Texas),#SpendingIsTheProblem: What Could You Do With Your $52K Share of the National Debt? http://t.co/RJ7npKc6ds,Louie Gohmert,Gohmert,R,R-neutral,R-policy
1051,neutral,policy,From: John Hoeven (Senator from North Dakota),Glad to meet with the Olson family of Bismarck to talk about their efforts to raise awareness about juvenile diabetes http://t.co/T7Ak3PrAeD,John Hoeven,Hoeven,R,R-neutral,R-policy
1052,neutral,media,From: Steven Chabot (Representative from Ohio),ICYMI: Here's a replay of me on the @brianthomas1 show on @55KRC last Tuesday. Got a question? Tweet me! http://t.co/l9wCkaQ7sb,Steven Chabot,Chabot,R,R-neutral,R-media
1053,neutral,policy,From: Kirsten Gillibrand (Senator from New York),#PreKForAll is part of my #OpportunityPlan to empower working women to thrive in 21st Century economy. #InvestInKids http://t.co/2e1ut4RR2Y,Kirsten Gillibrand,Gillibrand,D,D-neutral,D-policy
1054,partisan,support,From: Bernard Sanders (Senator from Vermont),We can effectively combat terrorism without sacrificing the civil liberties which make us free. #ResetTheNet http://t.co/4xjnXKoOEK,Bernard Sanders,Sanders,I,I-partisan,I-support
1055,neutral,personal,From: Barbara Mikulski (Senator from Maryland),"As a social worker, I know impact a teacher can have in life of a child ÛÒ inspiring students &amp; challenging them to be all they can be.",Barbara Mikulski,Mikulski,D,D-neutral,D-personal
1056,neutral,media,From: Marlin Stutzman (Representative from Indiana),Tune in to @FoxNews at 12 ET - I'm joining America's News Headquarters to talk about the #debtceiling,Marlin Stutzman,Stutzman,R,R-neutral,R-media
1057,partisan,support,From: Steve Scalise (Representative from Louisiana),Proud to support @RepDaveCamp's bill to stop the Administration from implementing new rules that unfairly target their political enemies.,Steve Scalise,Scalise,R,R-partisan,R-support
1059,neutral,information,From: Patrick Toomey (Senator from Pennsylvania),New report shows how gov't could save billions by ending handouts to agribusiness: http://t.co/QsXQsNDpku #corporatewelfare #cropinsurance,Patrick Toomey,Toomey,R,R-neutral,R-information
1060,partisan,policy,From: Martha Roby (Representative from Alabama),Americans must be able to voice their political and religious views without fear of reprisal from the government. http://t.co/chknj5Q6zW,Martha Roby,Roby,R,R-partisan,R-policy
1062,partisan,policy,From: Keith Ellison (Representative from Minnesota),We've heard Republicans say they want to close loopholes--let's start closing them!,Keith Ellison,Ellison,D,D-partisan,D-policy
1063,neutral,personal,From: Linda Sanchez (Representative from California),@CALinnovates Thank you for the time and the insight!,Linda Sanchez,Sanchez,D,D-neutral,D-personal
1064,neutral,information,From: Michelle Lujan Grisham (Representative from New Mexico),"The 87121 zip code has the most foreclosures and most abandoned, foreclosed properties. There is help. Come to West Mesa High School today.",Michelle Lujan Grisham,Grisham,D,D-neutral,D-information
1065,neutral,information,From: Louie Gohmert (Representative from Texas),RT @housescience First astronauts introduced by #NASA -- READ more @ This Day in History -- 4/9/1959 http://t.co/F5Eb8JPkHX,Louie Gohmert,Gohmert,R,R-neutral,R-information
1066,neutral,mobilization,From: Paul Tonko (Representative from New York),Pls join me in celebrating #PrideMonth -- Very glad that NY was among the first to get on the right side of history https://t.co/S6AwB2WsUL,Paul Tonko,Tonko,D,D-neutral,D-mobilization
1068,partisan,policy,From: Jan Schakowsky (Representative from Illinois),"By blocking #immigration reform, House Republicans are single-handedly hurting our economy. #TimeIsNow http://t.co/OiSJKpPGTs",Jan Schakowsky,Schakowsky,D,D-partisan,D-policy
1070,neutral,personal,From: Joaquin Castro (Representative from Texas),"Arrivd frm visitg troops in Afghanistan.These soldiers guard freedoms we enjoy
Never forget to give thanks in evryway http://t.co/mTlWS8Os8l",Joaquin Castro,Castro,D,D-neutral,D-personal
1071,neutral,information,From: Robert Hurt (Representative from Virginia),TOMORROW: Staff will hold local office hours in Campbell &amp; Buckingham Counties to assist with federal agencies: http://t.co/5iewqO70io,Robert Hurt,Hurt,R,R-neutral,R-information
1072,partisan,attack,From: Jackie Speier (Representative from California),1 vet lost in #VA is too many but to have 1.700 ignored is a violation of every principle we promote 2 protect them http://t.co/GihNxltn8z,Jackie Speier,Speier,D,D-partisan,D-attack
1073,neutral,policy,From: Rick Crawford (Representative from Arkansas),We need to work with the Corps of Engineers to get quality work done in a timely manner. Lets get these projects moving. #WaterResource,Rick Crawford,Crawford,R,R-neutral,R-policy
1076,partisan,policy,From: John Cornyn (Senator from Texas),VA chief Shinseki has a lot to explain: Our view http://t.co/uZ6dxYus2i via @usatoday,John Cornyn,Cornyn,R,R-partisan,R-policy
1077,neutral,mobilization,From: Randy Weber (Representative from Texas),Stand up for your 2nd amendment rights by signing the petition at http://t.co/8wkqCIf4Zj. #stopatt,Randy Weber,Weber,R,R-neutral,R-mobilization
1078,partisan,policy,From: Gerald Connolly (Representative from Virginia),SCOTUS gets it right and allows pro-marriage equality rulings to stand! Great day for justice for families in Virginia and 10 other states.,Gerald Connolly,Connolly,D,D-partisan,D-policy
1079,neutral,support,From: Robert Wittman (Representative from Virginia),.@patriotmom61 I have voted against aid for Libya &amp; Egypt.  Must prioritize spending 4 US needs &amp; not 4 those countries who work against us.,Robert Wittman,Wittman,R,R-neutral,R-support
1080,neutral,support,From: Cory Booker (Senator from New Jersey),Please DM me your number. I'd like to help. RT @CrankyNurseNJ: Animal control said they can't do anything either! WHO CAN HELP THIS POOR DOG,Cory Booker,Booker,D,D-neutral,D-support
1081,neutral,support,From: Jeanne Shaheen (Senator from New Hampshire),"Great news! Pease officially selected to receive new KC-46A tanker ÛÒ big win for NH jobs, economy &amp; natl security: http://t.co/swWzKgX1yt",Jeanne Shaheen,Shaheen,D,D-neutral,D-support
1082,neutral,other,From: Ileana Ros-Lehtinen (Representative from Florida),"W/students frm my alma mater @SouthwestEagles, @westmiamimiddle+#Southside Elementary 4 @MDCPS Hall of Fame Induction http://t.co/cLO0KiHIxx",Ileana Ros-Lehtinen,Ros-Lehtinen,R,R-neutral,R-other
1083,neutral,media,From: Mike Quigley (Representative from Illinois),@LesWinan it isn't (you just tweeted us after all) so please feel free to add your voice to the conversation,Mike Quigley,Quigley,D,D-neutral,D-media
1084,partisan,attack,From: Bill Shuster (Representative from Pennsylvania),"Three years ago, President Obama weakened this country and our economy with Obamacare. After spending more than $2... http://t.co/wgeOQHtnDc",Bill Shuster,Shuster,R,R-partisan,R-attack
1085,partisan,information,From: Mitch McConnell (Senator from Kentucky),.@KentuckyBAEO and Pastor Jerry Stephenson are working hard to promote school choice initiatives in #Kentucky.,Mitch McConnell,McConnell,R,R-partisan,R-information
1087,partisan,policy,From: Randy Weber (Representative from Texas),#POTUS is not credible to determine the best interests of  #Israel: http://t.co/6Jyq2kV5,Randy Weber,Weber,R,R-partisan,R-policy
1089,partisan,attack,From: Dianne Feinstein (Senator from California),Burden of student loan debt affects a borrowerÛªs ability to buy a home or plan for retirement. We need to do something about it. #FairShot,Dianne Feinstein,Feinstein,D,D-partisan,D-attack
1090,partisan,policy,From: Rick Crawford (Representative from Arkansas),It's a great day to be in Southeast #AR1. We're discussing the 2014 #farmbill implementation in Lake Village this AM. http://t.co/CQ4UNlxEYM,Rick Crawford,Crawford,R,R-partisan,R-policy
1091,partisan,information,From: Patty Murray (Senator from Washington),"Murray on 20wk abortion ban: ""No matter who introduces it, it is not going anywhere in the Senate"" http://t.co/wNA5B3LBdP #standwithwomen",Patty Murray,Murray,D,D-partisan,D-information
1093,partisan,support,From: Jim Himes (Representative from Connecticut),"POTUS: ""I am optimistic that we can get immigration reform done this year"".",Jim Himes,Himes,D,D-partisan,D-support
1094,partisan,policy,From: John Hoeven (Senator from North Dakota),Read my statement on #EPA Ûªs new rules for existing power plants here: http://t.co/WwIi2nEezc,John Hoeven,Hoeven,R,R-partisan,R-policy
1095,neutral,other,From: Darrell Issa (Representative from California),This guy ... #CA49 http://t.co/ilntQltMX0,Darrell Issa,Issa,R,R-neutral,R-other
1096,neutral,media,From: Dennis Ross (Representative from Florida),ICYMI: @cnnkyra &amp;I discuss my legislation on @AC360 that will battle child sex predators in the workplace WATCH HERE: http://t.co/xW9V2l2VSl,Dennis Ross,Ross,R,R-neutral,R-media
1097,neutral,information,From: Jerry McNerney (Representative from California),March 3rd is the deadline to apply for federal student aid. Visit http://t.co/T8tNG0GV and get started today. #FAFSA #Education,Jerry McNerney,McNerney,D,D-neutral,D-information
1099,partisan,policy,From: Amy Klobuchar (Senator from Minnesota),Calling for hearing after recent train derailments. 21st century economy needs 21st century transportation network to protect communities.,Amy Klobuchar,Klobuchar,D,D-partisan,D-policy
1100,neutral,constituency,From: JosÌ© Serrano (Representative from New York),I posted photos on FB from today's Mexican American Student Association celebration in the Bronx. http://t.co/wEkWTuGPob  @HispanicCaucus,JosÌ© Serrano,Serrano,D,D-neutral,D-constituency
1101,neutral,media,From: Richard Durbin (Senator from Illinois),Watch my speech on #MarketplaceFairnessAct here: http://t.co/CcwHx3cHWG,Richard Durbin,Durbin,D,D-neutral,D-media
1102,neutral,information,From: John Garamendi (Representative from California),"RT @RayLaHood: New locomotive built by Americans; @USDOTFRA, any better way to celebrate Natl #Transportation Week? http://t.co/gsJ17ToMR2",John Garamendi,Garamendi,D,D-neutral,D-information
1103,neutral,policy,From: Jim Costa (Representative from California),"RT @comfoodjustice: ""We need to work towards a better definition of what 'rural' means"" @RepJimCosta #FairFarmBill #FarmBill",Jim Costa,Costa,D,D-neutral,D-policy
1104,partisan,policy,From: Patty Murray (Senator from Washington),"Sen. Murray, ""...if you care about the deficit, you need to care about climate change."" http://t.co/aZt8Vr7TIV #ActOnClimate",Patty Murray,Murray,D,D-partisan,D-policy
1106,partisan,attack,From: Kevin McCarthy (Representative from California),What are the PresidentÛªs real priorities? Put Americans back to work or please the narrow environmental lobby? http://t.co/bzRpaHtye3,Kevin McCarthy,McCarthy,R,R-partisan,R-attack
1107,neutral,policy,From: Tim Walberg (Representative from Michigan),Spoke with students from Quincy High School's government classes this week on everything from the economy to ISIL. http://t.co/Sh4ShAzyHA,Tim Walberg,Walberg,R,R-neutral,R-policy
1108,neutral,information,From: Kenny Marchant (Representative from Texas),"President Reagan, 26 years ago today: http://t.co/iUXtunG1jd",Kenny Marchant,Marchant,R,R-neutral,R-information
1109,partisan,mobilization,From: Richard Shelby (Senator from Alabama),"RT @Cliff_Sims: .@SenShelby tees off on Obama administration: ItÛªs time to say Û÷noÛª to illegals, enforce the law http://t.co/heRn8v8lwl viaÛ_",Richard Shelby,Shelby,R,R-partisan,R-mobilization
1111,neutral,policy,From: Justin Amash (Representative from Michigan),And still violates #4thAmendment. RT @Gorman_Siobhan: House Intel Cmte restructuring of #NSA phone prgm sets up clash w/ Judiciary Cmte.,Justin Amash,Amash,R,R-neutral,R-policy
1112,neutral,policy,From: Richard Neal (Representative from Massachusetts),"Strengthening our nationÛªs infrastructure is not a Democratic or Republican issue, it just makes common sense. My... http://t.co/iqJFJWyv3D",Richard Neal,Neal,D,D-neutral,D-policy
1114,neutral,information,From: Lynn Westmoreland (Representative from Georgia),Did you know closing White House tours is only 0.65% of the required cuts from sequester by Secret Service? http://t.co/SRJsW3wccd,Lynn Westmoreland,Westmoreland,R,R-neutral,R-information
1115,neutral,media,From: Mark Pocan (Representative from Wisconsin),I'll be on with @WeGotEd at 12:30 CST. Listen live here: http://t.co/WS19IDYqOD,Mark Pocan,Pocan,D,D-neutral,D-media
1116,neutral,information,From: Louise Slaughter (Representative from New York),"In a few mins, I'll be on the House Floor arguing against a #GOPshutdown, telling House Rs #EnoughAlready. Tune in at http://t.co/6TalXBpX5u",Louise Slaughter,Slaughter,D,D-neutral,D-information
1117,partisan,attack,From: Richard Hudson (Representative from North Carolina),"You are wrong, Sir. Check your facts. @jpdtiga @AFPNC:  ""You &amp; most @gop congressmen caved &amp; voted for a tax increase on the wealthy.""",Richard Hudson,Hudson,R,R-partisan,R-attack
1119,partisan,attack,From: Dana Rohrabacher (Representative from California),"@CerebralGuild drug testing can prevent truck drivers &amp; doctors endangering others, deter teens&amp; prevent welfare being used 4 drugs,",Dana Rohrabacher,Rohrabacher,R,R-partisan,R-attack
1120,neutral,personal,From: Patrick Leahy (Senator from Vermont),Proud to be an honorary member of @GreenMtnCollege Class of 2014! http://t.co/LHwQIeo0pz,Patrick Leahy,Leahy,D,D-neutral,D-personal
1121,partisan,policy,From: Michael Crapo (Senator from Idaho),"The #FarmBill includes language, I authored that states the #CWA was never intended to regulate water runoff on logging roads. #idpol",Michael Crapo,Crapo,R,R-partisan,R-policy
1123,partisan,support,From: Rosa DeLauro (Representative from Connecticut),Workers have used FMLA leave over 100 million times #WhatMothersNeed is #PaidFamilyLeave so more can use it to care for family,Rosa DeLauro,DeLauro,D,D-partisan,D-support
1124,neutral,support,From: Tammy Baldwin (Senator from Wisconsin),"ÛÏWI is full of John Millers ÛÒ ordinary people with ingenuity, determination &amp; civic spirit to become not just successful business owners...Û",Tammy Baldwin,Baldwin,D,D-neutral,D-support
1125,neutral,policy,From: Patty Murray (Senator from Washington),Pell grants &amp; student loans were what allowed my 6 siblings &amp; I to go to college after dad got sick &amp; had to leave his job #dontdoublemyrate,Patty Murray,Murray,D,D-neutral,D-policy
1126,neutral,information,From: John Delaney (Representative from Maryland),John attended the 9/11 Remembrance Ceremony today on the Capitol Steps. Read his 9/11 statement here: http://t.co/jJZMk1As7j #remember911,John Delaney,Delaney,D,D-neutral,D-information
1127,partisan,attack,From: Dana Rohrabacher (Representative from California),"@sschwarz07 OK. article U attached about so-called plight of Polar Bears proclaimed litany of ""could be"" horrible threats to bears, not real",Dana Rohrabacher,Rohrabacher,R,R-partisan,R-attack
1128,neutral,media,From: Patrick Leahy (Senator from Vermont),Watch @CSPAN live Tues as Senate Judiciary Committee holds hearing on constitutional amdt to #GetMoneyOut of politics. Start time 10:30am,Patrick Leahy,Leahy,D,D-neutral,D-media
1129,partisan,policy,From: Dana Rohrabacher (Representative from California),"@izzysroses That is in your eyes, but if stated as fact U've made Ur whole case against prez suspect.",Dana Rohrabacher,Rohrabacher,R,R-partisan,R-policy
1131,neutral,policy,From: Rick Crawford (Representative from Arkansas),Please keep everyone in #Oklahoma in your prayers as they endure another day of severe weather and outbreaks of tornados.,Rick Crawford,Crawford,R,R-neutral,R-policy
1132,neutral,policy,From: Edward Markey (Senator from Massachusetts),RT @BostonGlobe Editorial: Edward Markey is smart to advocate for fixing aging gas pipelines http://t.co/hI98480qoD,Edward Markey,Markey,D,D-neutral,D-policy
1133,neutral,policy,From: Dana Rohrabacher (Representative from California),@livecut @KatHeinemann @MaryBonoMack @DanaRohrabacher @DarrellIssa was mistaken. In debate Dem leaders declared tax rates NOT permanent,Dana Rohrabacher,Rohrabacher,R,R-neutral,R-policy
1134,partisan,policy,From: Mark Amodei (Representative from Nevada),My tribal bills passed @NatResources today. Local control &amp; economic self determination preferable to fed managers http://t.co/CSxqtFJ8k1,Mark Amodei,Amodei,R,R-partisan,R-policy
1135,partisan,attack,From: Mitch McConnell (Senator from Kentucky),Sens. McConnell &amp; Paul engaging in a colloquy on Senate floor now on Obamacare's impact on Kentucky. Watch HERE.http://t.co/eCkqyGRE1C,Mitch McConnell,McConnell,R,R-partisan,R-attack
1137,partisan,support,From: Barbara Mikulski (Senator from Maryland),Pleased administration followed through on my request w @SenatorCardin to release home energy assistance federal funds as winter approaches.,Barbara Mikulski,Mikulski,D,D-partisan,D-support
1140,partisan,policy,From: Tim Huelskamp (Representative from Kansas),"41 years after #RoevWade, I am recommitting myself to passing laws that save the lives of unborn children &amp; protect women #prolife",Tim Huelskamp,Huelskamp,R,R-partisan,R-policy
1141,neutral,personal,From: Thomas Carper (Senator from Delaware),Ready to work w/ @DarrellIssa to finish job of restoring Postal Service to long-term solvency. Committed to getting this done in the #113th.,Thomas Carper,Carper,D,D-neutral,D-personal
1142,neutral,personal,From: Heidi Heitkamp (Senator from North Dakota),"On #VeteransDay, &amp; everyday,we must remember &amp;thank selfless #veterans who sacrificed so much 2 keep our nation safe https://t.co/taCqf2q0vr",Heidi Heitkamp,Heitkamp,D,D-neutral,D-personal
1143,neutral,personal,From: Randy Hultgren (Representative from Illinois),LIVE NOW: Honored to be presiding over House debate today: http://t.co/UXdw9ULflM,Randy Hultgren,Hultgren,R,R-neutral,R-personal
1145,neutral,personal,From: Cory Booker (Senator from New Jersey),@MatthewKalish You should have said hello.,Cory Booker,Booker,D,D-neutral,D-personal
1146,partisan,policy,From: Ron Wyden (Senator from Oregon),Proud to stand with @Daddies &amp; all Oregon biz in the fight for #NoNetTax. New blog of my visit to @Daddies:  http://t.co/rtJoQSGRyP,Ron Wyden,Wyden,D,D-partisan,D-policy
1148,neutral,information,From: Ileana Ros-Lehtinen (Representative from Florida),Lots going on: come! @HouseForeign: Tomorrow: Subcommittee Hearing: #LebanonÛªs Security Challenges +U.S. Interests: http://t.co/iq5pmmyz5p,Ileana Ros-Lehtinen,Ros-Lehtinen,R,R-neutral,R-information
1150,neutral,media,From: John Garamendi (Representative from California),STAFF: @RepGaramendi on House floor now talking about jobs &amp; tax policy. You can watch here: http://t.co/KI8p6Was #cspan,John Garamendi,Garamendi,D,D-neutral,D-media
